# skylos run_id=33039677890 date=2026-08-27T04:31:40Z head_sha=2c8d4957ef29eacf5ca87fdc09598128f6c78d5b
subtype,file,line,symbol,confidence,classification
unused_variables,qmb/src/qmb/data/generate.py,196,qmb.data.generate._NANOS,60,likely_dead
unused_variables,qmb/src/qmb/orchestrator/watch.py,261,qmb.orchestrator.watch._Counters._windows_peak_working_set._fields_,80,likely_dead
unused_variables,tools/workspace_meta.py,35,tools.workspace_meta.PACKAGES_DIR,60,likely_dead
unused_variables,tools/workspace_meta.py,36,tools.workspace_meta.EXTENSIONS_DIR,60,likely_dead
unused_parameters,packages/qmf-core/src/qmf/core/sinks.py,115,qmf.core.sinks.ObservationSink.emit.observation,90,reported
unused_parameters,packages/qmf-core/src/qmf/core/sinks.py,131,qmf.core.sinks.JournalSink.append.event,90,reported
unused_parameters,packages/qmf-core/src/qmf/core/sinks.py,145,qmf.core.sinks.RecordSink.write.record,90,reported
unused_parameters,packages/qmf-data/src/qmf/data/backup.py,500,qmf.data.backup.OffMachineRestore.discard_local_raw.store,90,reported
unused_parameters,packages/qmf-data/src/qmf/data/cycle.py,307,qmf.data.cycle.OffMachineCycle.own_schedule.args,90,reported
unused_parameters,packages/qmf-data/src/qmf/data/cycle.py,307,qmf.data.cycle.OffMachineCycle.own_schedule.kwargs,90,reported
unused_parameters,packages/qmf-data/src/qmf/data/cycle.py,312,qmf.data.cycle.OffMachineCycle.start_daemon.args,90,reported
unused_parameters,packages/qmf-data/src/qmf/data/cycle.py,312,qmf.data.cycle.OffMachineCycle.start_daemon.kwargs,90,reported
unused_parameters,packages/qmf-data/src/qmf/data/cycle.py,318,qmf.data.cycle.OffMachineCycle.set_recovery_point_objective.args,90,reported
unused_parameters,packages/qmf-data/src/qmf/data/cycle.py,318,qmf.data.cycle.OffMachineCycle.set_recovery_point_objective.kwargs,90,reported
unused_parameters,packages/qmf-data/src/qmf/data/cycle.py,325,qmf.data.cycle.OffMachineCycle.set_recovery_time_objective.args,90,reported
unused_parameters,packages/qmf-data/src/qmf/data/cycle.py,325,qmf.data.cycle.OffMachineCycle.set_recovery_time_objective.kwargs,90,reported
unused_parameters,packages/qmf-data/src/qmf/data/dukascopy.py,286,qmf.data.dukascopy.decode_bi5_ticks.price_scale,90,reported
unused_parameters,packages/qmf-data/src/qmf/data/store/engines/duckdb_views.py,82,qmf.data.store.engines.duckdb_views.DuckDbAnalyticsEngine.materialize.rows,90,reported
unused_parameters,packages/qmf-data/src/qmf/data/store/engines/parquet.py,63,qmf.data.store.engines.parquet.ParquetColumnarEngine.write.rows,90,reported
unused_parameters,packages/qmf-data/src/qmf/data/verify.py,160,qmf.data.verify.refuse_snapshot_alone_claim.world,90,reported
unused_parameters,packages/qmf-data/src/qmf/data/verify.py,161,qmf.data.verify.refuse_snapshot_alone_claim.copy_version,90,reported
unused_parameters,packages/qmf-data/src/qmf/data/verify.py,162,qmf.data.verify.refuse_snapshot_alone_claim.source_room_role,90,reported
unused_parameters,packages/qmf-indicators/src/qmf/indicators/batch.py,779,qmf.indicators.batch._label_result.names,90,reported
unused_parameters,packages/qmf-indicators/src/qmf/indicators/budget.py,176,qmf.indicators.budget._benchmark_proof.configuration,90,reported
unused_parameters,packages/qmf-risk/src/qmf/risk/sizing.py,88,qmf.risk.sizing._require_section.field,90,reported
unused_parameters,packages/qmf-risk/src/qmf/risk/templates.py,94,qmf.risk.templates._coerce_format_version.field,90,reported
unused_parameters,packages/qmf-venue/src/qmf/venue/events.py,970,qmf.venue.events._apply_transition.running,90,reported
unused_parameters,qmb/src/qmb/data/generate.py,1534,qmb.data.generate._store_taint.run_id,90,reported
unused_parameters,qmb/src/qmb/data/generate.py,1791,qmb.data.generate._resolve_process_params.scale,90,reported
unused_parameters,qmb/src/qmb/execution/fill.py,579,qmb.execution.fill._market.path,90,reported
unused_parameters,qmb/src/qmb/execution/fill.py,580,qmb.execution.fill._market.opening,90,reported
unused_parameters,qmb/src/qmb/execution/fill.py,583,qmb.execution.fill._market.closing,90,reported
unused_parameters,qmb/src/qmb/execution/fill.py,810,qmb.execution.fill._gap_through_market.order,90,reported
unused_parameters,qmb/src/qmb/execution/handler.py,83,qmb.execution.handler.ExecutionSliceHandler.update_stream.stream_id,90,reported
unused_parameters,qmb/src/qmb/execution/handler.py,84,qmb.execution.handler.ExecutionSliceHandler.update_stream.observation,90,reported
unused_parameters,qmb/src/qmb/execution/handler.py,85,qmb.execution.handler.ExecutionSliceHandler.update_stream.frontier,90,reported
unused_parameters,qmb/src/qmb/execution/handler.py,126,qmb.execution.handler.ExecutionSliceHandler.update_closed_data.stream_id,90,reported
unused_parameters,qmb/src/qmb/execution/handler.py,127,qmb.execution.handler.ExecutionSliceHandler.update_closed_data.observation,90,reported
unused_parameters,qmb/src/qmb/execution/handler.py,128,qmb.execution.handler.ExecutionSliceHandler.update_closed_data.frontier,90,reported
unused_parameters,qmb/src/qmb/execution/handler.py,133,qmb.execution.handler.ExecutionSliceHandler.mint_intents.stream_id,90,reported
unused_parameters,qmb/src/qmb/execution/handler.py,133,qmb.execution.handler.ExecutionSliceHandler.mint_intents.frontier,90,reported
unused_parameters,qmb/src/qmb/execution/handler.py,147,qmb.execution.handler.ExecutionSliceHandler.rank_resting.observation,90,reported
unused_parameters,qmb/src/qmb/execution/handler.py,148,qmb.execution.handler.ExecutionSliceHandler.rank_resting.frontier,90,reported
unused_parameters,qmb/src/qmb/execution/handler.py,163,qmb.execution.handler.ExecutionSliceHandler.execute_resting.observation,90,reported
unused_parameters,qmb/src/qmb/execution/handler.py,164,qmb.execution.handler.ExecutionSliceHandler.execute_resting.frontier,90,reported
unused_parameters,qmb/src/qmb/execution/slippage.py,282,qmb.execution.slippage.slip_fill.seed,90,reported
unused_parameters,qmb/src/qmb/execution/slippage.py,628,qmb.execution.slippage._bar_range.sample,90,reported
unused_parameters,qmb/src/qmb/robustness/significance.py,297,qmb.robustness.significance.SignalOnlyHandler.update_stream.stream_id,90,reported
unused_parameters,qmb/src/qmb/robustness/significance.py,298,qmb.robustness.significance.SignalOnlyHandler.update_stream.observation,90,reported
unused_parameters,qmb/src/qmb/robustness/significance.py,299,qmb.robustness.significance.SignalOnlyHandler.update_stream.frontier,90,reported
unused_parameters,qmb/src/qmb/robustness/significance.py,304,qmb.robustness.significance.SignalOnlyHandler.scheduled_position_event.stream_id,90,reported
unused_parameters,qmb/src/qmb/robustness/significance.py,304,qmb.robustness.significance.SignalOnlyHandler.scheduled_position_event.frontier,90,reported
unused_parameters,qmb/src/qmb/robustness/significance.py,310,qmb.robustness.significance.SignalOnlyHandler.execute_resting.intent,90,reported
unused_parameters,qmb/src/qmb/robustness/significance.py,311,qmb.robustness.significance.SignalOnlyHandler.execute_resting.observation,90,reported
unused_parameters,qmb/src/qmb/robustness/significance.py,312,qmb.robustness.significance.SignalOnlyHandler.execute_resting.frontier,90,reported
unused_parameters,qmb/src/qmb/robustness/significance.py,319,qmb.robustness.significance.SignalOnlyHandler.update_closed_data.stream_id,90,reported
unused_parameters,qmb/src/qmb/robustness/significance.py,320,qmb.robustness.significance.SignalOnlyHandler.update_closed_data.observation,90,reported
unused_parameters,qmb/src/qmb/robustness/significance.py,321,qmb.robustness.significance.SignalOnlyHandler.update_closed_data.frontier,90,reported
unused_parameters,qmb/src/qmb/robustness/significance.py,326,qmb.robustness.significance.SignalOnlyHandler.mint_intents.stream_id,90,reported
unused_parameters,qmb/src/qmb/robustness/walkforward.py,869,qmb.robustness.walkforward.fold_oos_bar_outcome.window,90,reported
unused_parameters,qmb/src/qmb/runloop/loop.py,653,qmb.runloop.loop.SilentSliceHandler.update_stream.stream_id,90,reported
unused_parameters,qmb/src/qmb/runloop/loop.py,654,qmb.runloop.loop.SilentSliceHandler.update_stream.observation,90,reported
unused_parameters,qmb/src/qmb/runloop/loop.py,655,qmb.runloop.loop.SilentSliceHandler.update_stream.frontier,90,reported
unused_parameters,qmb/src/qmb/runloop/loop.py,660,qmb.runloop.loop.SilentSliceHandler.scheduled_position_event.stream_id,90,reported
unused_parameters,qmb/src/qmb/runloop/loop.py,660,qmb.runloop.loop.SilentSliceHandler.scheduled_position_event.frontier,90,reported
unused_parameters,qmb/src/qmb/runloop/loop.py,666,qmb.runloop.loop.SilentSliceHandler.execute_resting.intent,90,reported
unused_parameters,qmb/src/qmb/runloop/loop.py,667,qmb.runloop.loop.SilentSliceHandler.execute_resting.observation,90,reported
unused_parameters,qmb/src/qmb/runloop/loop.py,668,qmb.runloop.loop.SilentSliceHandler.execute_resting.frontier,90,reported
unused_parameters,qmb/src/qmb/runloop/loop.py,675,qmb.runloop.loop.SilentSliceHandler.update_closed_data.stream_id,90,reported
unused_parameters,qmb/src/qmb/runloop/loop.py,676,qmb.runloop.loop.SilentSliceHandler.update_closed_data.observation,90,reported
unused_parameters,qmb/src/qmb/runloop/loop.py,677,qmb.runloop.loop.SilentSliceHandler.update_closed_data.frontier,90,reported
unused_parameters,qmb/src/qmb/runloop/loop.py,682,qmb.runloop.loop.SilentSliceHandler.mint_intents.stream_id,90,reported
unused_parameters,qmb/src/qmb/runloop/loop.py,682,qmb.runloop.loop.SilentSliceHandler.mint_intents.frontier,90,reported
unused_parameters,qmb/src/qmb/runloop/warmup.py,80,qmb.runloop.warmup.preseed_indicator_buffers.buffers,90,reported
unused_parameters,qml/src/qml/conformance/registration.py,305,qml.conformance.registration.cite_ungoverned_bot.cited_fp1,90,reported
unused_parameters,qml/src/qml/conformance/registration.py,305,qml.conformance.registration.cite_ungoverned_bot.kind,90,reported
unused_parameters,qml/src/qml/host/runner.py,557,qml.host.runner._silent_logic.evidence,90,reported
unused_parameters,qml/src/qml/protocol/factory.py,569,qml.protocol.factory.FunctionFactory.construct.read_surfaces,90,reported
unused_parameters,qml/src/qml/protocol/intents.py,80,qml.protocol.intents.accept_intents.protocol_format_version,90,reported
